Company,0
Adani Enterprises,-0.00036492145519036574
Adani Green Energy,-0.00098372870885222
Adani Ports,0.0008922342833133854
Apollo Hospitals,0.0006857838852526285
Asian Paints,-0.00051769475958423
Axis Bank,0.00023992540918752492
Bajaj Auto,0.0016892238201236657
Bajaj Finance,0.0006407214837076918
Bajaj Finserv,0.0004599820466272819
Bharat Petroleum,0.0010424306593338536
Bharti Airtel,0.001338278970748202
Britannia Industries,0.0002574153924382086
Cipla,0.0006552452596910257
Coal India,0.0013967297218951534
Divi's Laboratories,0.0010805536840016155
Dr. Reddy's Laboratories,0.0006220792304047554
Eicher Motors,0.000899560228020355
Grasim Industries,0.0006525979050499965
HCL Technologies,0.00104178898317451
HDFC Bank,0.00024003572133512652
HDFC Life Insurance,0.00026276456403086495
Hero MotoCorp,0.0008474428176636424
Hindalco Industries,0.0006891716742087596
Hindustan Unilever,-0.00016183976625443167
ICICI Bank,0.0006383755734582468
ITC,0.0005413763102106974
IndusInd Bank,-0.00019118974108881965
Infosys,0.0003987507577443277
JSW Steel,0.000515940982946594
Kotak Mahindra Bank,0.00017383542434524105
Larsen & Toubro,0.0009304389722272916
Mahindra & Mahindra,0.0015396775796849428
Maruti Suzuki,0.0007758096269980007
NTPC,0.0014606583731639824
Nestle India,0.00036922508633122406
Oil & Natural Gas Corporation,0.0011759741744964429
Power Grid Corporation,0.0011854488279956943
Reliance Industries,0.00011226243701948006
SBI Life Insurance,0.00038037967273327975
Shree Cement,0.00041202775004967366
State Bank of India,0.00041595458256626396
Sun Pharmaceutical,0.000993399887107475
Tata Consultancy Services,0.0002633876733383036
Tata Motors,0.0010133335280505275
Tata Steel,0.0004962058459737135
Tech Mahindra,0.0009762366923610269
Titan Company,0.00044179693960256757
UPL,-6.91595603265548e-05
UltraTech Cement,0.000804549486398135
Wipro,0.0008196883181841164
