Company,Adani Enterprises,Adani Green Energy,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharat Petroleum,Bharti Airtel,Britannia Industries,Cipla,Coal India,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC Bank,HDFC Life Insurance,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,ITC,IndusInd Bank,Infosys,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,NTPC,Nestle India,Oil & Natural Gas Corporation,Power Grid Corporation,Reliance Industries,SBI Life Insurance,Shree Cement,State Bank of India,Sun Pharmaceutical,Tata Consultancy Services,Tata Motors,Tata Steel,Tech Mahindra,Titan Company,UPL,UltraTech Cement,Wipro
Hindalco Industries,0.00013298135893722657,0.00014564969775302588,0.00012967016677312292,2.4841032629598738e-05,2.4276158236438115e-05,5.39408515493719e-05,5.372547795006276e-05,5.593940515806665e-05,6.344560608219765e-05,0.00010328867693295201,5.7275646044029366e-05,1.1150190495160958e-05,2.9757127175135203e-05,0.0001277131304977057,8.279106229024764e-05,5.2658500653929944e-05,6.363687224359022e-05,9.846971429003594e-05,5.323488382565391e-05,6.025086947517108e-05,5.943638187760145e-05,6.702401245441018e-05,0.0003381135109172841,1.3199862283863348e-05,4.027021211770867e-05,3.136530313669824e-05,8.699999746575824e-05,5.3379820950261904e-05,0.0001682619196351221,4.460962904903005e-05,8.623332735021268e-05,7.984192737040059e-05,5.017107067749471e-05,0.00011098652376677183,2.857732840732015e-05,0.00014025343840340908,9.617733030011923e-05,8.178325969330274e-05,6.041621417179332e-05,3.63658993979975e-05,9.180375470065244e-05,4.997390198431867e-05,4.162966966552494e-05,0.00010578493028131033,0.00020361378796677693,6.502288849190107e-05,4.5102971830077535e-05,0.00010799113217698117,6.572399716083228e-05,7.90681222669598e-05
Hindustan Unilever,-9.940118519619418e-06,-1.5376121677911937e-05,7.536932213748983e-06,1.9863869954854238e-05,4.537551584988845e-05,1.2077171249925818e-05,2.6757047251135176e-05,1.519451314542199e-05,1.672814510191168e-05,1.7613114834249107e-05,2.1436936179841093e-05,6.868420998698552e-05,8.674830257920188e-06,-3.1277702417270205e-07,1.832965875007994e-05,1.290595308662059e-05,3.068573526719721e-05,2.517442976234161e-05,3.46193790753375e-05,9.818966941568476e-06,2.3172828065177565e-05,3.8386900069712035e-05,1.3199862283863348e-05,0.00013641686458059352,3.423417121076601e-06,5.405844930570119e-05,2.9304162083001774e-05,3.3699025163520956e-05,2.167978295239207e-05,2.550616156960252e-05,9.96320340637988e-06,3.649604980239892e-05,2.8924164040568624e-05,-9.639465120574642e-08,6.314261652384813e-05,9.570766162677904e-06,1.2035511964224585e-06,2.5964242022811955e-05,3.802221774438524e-05,1.6537160565052537e-05,4.9605256879366845e-06,1.1595666105118342e-05,2.866974467067739e-05,2.3695107958205925e-05,1.3763117682653353e-05,2.3128511121098885e-05,3.403894407843159e-05,2.2976730637108745e-05,2.4654927372771316e-05,2.783630833461306e-05
ICICI Bank,9.937644238359169e-05,9.148545852901828e-05,0.00010273905279567993,2.0813480630895237e-05,2.129925856092813e-05,9.169479014413395e-05,1.6467566555706467e-05,5.9347623201113306e-05,5.968964591903242e-05,3.808662076544887e-05,4.782315659636818e-05,8.235951502626762e-06,1.3626376990692029e-05,4.5360445518485947e-05,9.237266062291251e-06,8.692913423168992e-07,4.942368559788969e-05,5.6378695853047256e-05,1.694790137194395e-05,5.9896809019578736e-05,3.1068456140010076e-05,2.8325927205359594e-05,4.027021211770867e-05,3.423417121076601e-06,0.00013138697971026495,3.117911892631076e-05,6.800213886185851e-05,3.664600051345477e-05,5.686245324615718e-05,6.964302581683882e-05,5.870360109715947e-05,5.8543189816698125e-05,3.132884290276262e-05,5.746489845426378e-05,1.2898810145964871e-05,5.327440371832415e-05,4.450973907182422e-05,5.677178904243898e-05,3.230702263975944e-05,4.035837982597265e-05,9.040295585169721e-05,1.5809043347338933e-05,2.6155384960602183e-05,3.0444763112762216e-05,5.442553614305719e-05,2.8515000939155157e-05,2.420894369379496e-05,4.412655121384187e-05,5.486858735434059e-05,4.364604084600434e-05
ITC,1.6360357015724698e-05,2.8581770203841856e-05,3.770292622798031e-05,2.4266720941894976e-05,3.852430272374752e-05,3.1922926824997965e-05,3.734596409937404e-05,3.330713868272877e-05,2.7371840825274467e-05,4.046871137666499e-05,3.3224936806790594e-05,5.604790766830432e-05,2.0834253211400792e-05,4.143958647137043e-05,1.8118514400053337e-05,2.6564706352786048e-05,4.3287528439178735e-05,3.735750193603541e-05,2.614215946497019e-05,1.744189832747312e-05,1.7301453049196123e-05,2.8448695851414897e-05,3.136530313669824e-05,5.405844930570119e-05,3.117911892631076e-05,0.0001453178684544426,3.488342242221272e-05,2.5564123840313375e-05,4.3331866671763546e-05,4.044989977652669e-05,3.889416923877397e-05,4.687786798637913e-05,4.049438904185958e-05,3.735110449775539e-05,4.689919330113012e-05,3.407125516959633e-05,2.589582022970418e-05,4.74113924226866e-05,1.878476016700495e-05,2.9510810084800578e-05,4.2540069292859085e-05,2.4749387495462292e-05,2.14547975867653e-05,3.8239219364298134e-05,4.341988019809842e-05,2.63481703573527e-05,4.095557928021579e-05,4.1541828268129885e-05,3.373300539050034e-05,3.310987966339592e-05
IndusInd Bank,0.00017622174693831012,0.0001328126899636943,0.0001746689792587062,2.7149098775520888e-05,4.813630342007426e-05,9.242982587025464e-05,5.907499177202621e-05,0.00010282640150548836,0.00011009863927205446,9.521555934753288e-05,5.3916786192307637e-05,2.7155006685124137e-05,2.441272425830774e-05,0.00010534475052119092,2.800149664860208e-05,2.4092462742487678e-05,7.560184547181566e-05,7.424579081043117e-05,3.495464595002252e-05,7.726816670184863e-05,6.49247745237996e-05,5.717210614837003e-05,8.699999746575824e-05,2.9304162083001774e-05,6.800213886185851e-05,3.488342242221272e-05,0.00032773262861855024,4.041326579151119e-05,9.110645478288021e-05,7.116355401186924e-05,9.246908811183849e-05,0.00011506701553762274,7.166857460045137e-05,0.00011438788393740178,3.900232469384804e-05,0.00010273966192353333,8.557971810651342e-05,8.821881951450956e-05,7.374349863699828e-05,3.766795939528512e-05,0.00013137546666109926,3.085472683768602e-05,2.8083250260508326e-05,9.942957495527379e-05,0.00010296862891790881,2.6743148047517833e-05,5.59561716080314e-05,8.977133208884948e-05,7.311241949723202e-05,6.078057184537354e-05
Infosys,5.499356265039794e-05,1.2127065386535195e-05,4.969203223120351e-05,2.0764450944951942e-05,2.0112421840263177e-05,2.4637613846259618e-05,1.243609338348036e-05,5.156141511999768e-05,5.472711954687416e-05,2.329245395726263e-05,4.968196844134565e-05,1.6823929250191956e-05,2.1730972521047373e-05,2.693892236577784e-05,3.478608247364848e-05,3.434026687691678e-05,3.49457996609125e-05,3.616529020685412e-05,0.0001359848377802039,3.150308412967757e-05,1.861350203135137e-05,2.329461976599942e-05,5.3379820950261904e-05,3.3699025163520956e-05,3.664600051345477e-05,2.5564123840313375e-05,4.041326579151119e-05,0.00022007838386660215,5.003984693402711e-05,2.8913753627797895e-05,4.387641648838827e-05,6.390009839330221e-05,2.2287282106650793e-05,2.8520655133049015e-05,1.2062333957005778e-05,5.063390014772009e-05,1.5239159919854822e-05,4.302426672795624e-05,3.589497293159017e-05,3.1332761364699474e-05,3.2578620729361485e-05,2.5271485639510342e-05,0.0001311891077806822,4.49179815667584e-05,4.507197416464718e-05,0.00014496702332797415,3.586388990510316e-05,4.369802028861949e-05,4.273701505893684e-05,0.00013786854792553502
JSW Steel,0.0001555628744785719,0.0001316962477839904,0.00013104022904984568,5.042743144777572e-05,3.5339867465590985e-05,6.402333785261865e-05,5.5369790218194094e-05,7.380106389599836e-05,7.496244884693921e-05,8.757801798397064e-05,6.0842879331169495e-05,2.361474886982276e-05,2.9515857621845432e-05,0.00011021880545377325,5.072366358892699e-05,4.387643676740432e-05,6.457690871060611e-05,9.404936070829535e-05,4.48634027144185e-05,6.419371059587266e-05,4.984280230499788e-05,4.539173419758609e-05,0.0001682619196351221,2.167978295239207e-05,5.686245324615718e-05,4.3331866671763546e-05,9.110645478288021e-05,5.003984693402711e-05,0.00022161366986512052,5.594878380806439e-05,9.38084012484569e-05,9.847703429508842e-05,5.7090198412917495e-05,0.00011978791305113924,3.135199804016849e-05,0.00011628068058220641,9.613623916469815e-05,7.565254690272612e-05,5.283987154353118e-05,5.648081398570065e-05,8.788834770302602e-05,3.74012152148148e-05,3.827081566818674e-05,9.249061863141335e-05,0.00018355081251889176,5.983265171463448e-05,5.633718476641345e-05,0.00011147198317033828,9.391088117907333e-05,7.991983948803791e-05
Kotak Mahindra Bank,8.532119703811582e-05,7.769522953697979e-05,8.122554832733914e-05,2.7884492767276754e-05,3.317357644886883e-05,5.287507336541442e-05,2.3184205980821196e-05,6.462467341705167e-05,5.906857099294744e-05,3.919805104484394e-05,5.6068253959851676e-05,3.3001717251309925e-05,1.379325113166461e-05,5.125786659394139e-05,1.9264936880053155e-05,3.638402854259953e-07,5.07763735044744e-05,4.9716492713464426e-05,2.6029480200685118e-05,6.0872690499461275e-05,3.8088265722059535e-05,3.0332080841719363e-05,4.460962904903005e-05,2.550616156960252e-05,6.964302581683882e-05,4.044989977652669e-05,7.116355401186924e-05,2.8913753627797895e-05,5.594878380806439e-05,0.00018315592180098857,5.118895271501121e-05,5.496138611194392e-05,3.6071300617778386e-05,5.531231947953545e-05,2.3177697895119155e-05,5.0884376405862075e-05,4.312346386535489e-05,5.587728521335003e-05,4.25337634731332e-05,3.507308124023268e-05,6.782883630681568e-05,1.8255063515159516e-05,1.8356871913613177e-05,3.919805235355653e-05,5.2499474014930965e-05,3.7591435975243225e-05,2.963023149826521e-05,4.8561978591649403e-05,5.335267548479744e-05,5.86093710994631e-05
Larsen & Toubro,0.000142203196653143,0.00015266797205553247,0.00015127535445925058,4.338932107460488e-05,3.673558349471864e-05,6.377546096458446e-05,4.7097063757206606e-05,5.2862556619844586e-05,5.687649922245153e-05,0.0001172315998692719,5.205354015850649e-05,1.7396315911816645e-05,3.90106506204069e-05,0.00012519616896803742,3.0398057872139938e-05,3.3332519785178825e-05,5.758726783808585e-05,6.447181168491092e-05,4.484506553628022e-05,6.391963059342677e-05,4.6927592733292034e-05,5.298336676409206e-05,8.623332735021268e-05,9.96320340637988e-06,5.870360109715947e-05,3.889416923877397e-05,9.246908811183849e-05,4.387641648838827e-05,9.38084012484569e-05,5.118895271501121e-05,0.0002382746303573863,7.177551262398435e-05,4.817282891338378e-05,0.00012460314500821297,2.088472008391916e-05,0.0001367504722346855,0.0001054420394034787,8.634966611040128e-05,6.298696888140822e-05,4.172667908922439e-05,0.0001054316948616798,3.091376577267484e-05,4.382532301897191e-05,8.507334158067682e-05,0.00010835421623823697,4.5409594933124214e-05,4.466957076644393e-05,8.105867802562677e-05,8.211775604440705e-05,6.647164895091252e-05
Mahindra & Mahindra,0.00016450071078766875,0.0001069967464651543,0.00013860081874827077,5.705144410709084e-05,2.788791595501024e-05,6.783713309365144e-05,9.068209842930249e-05,7.811314033137463e-05,8.541045086240379e-05,9.050104119717976e-05,6.33387453377006e-05,2.721750272549114e-05,3.223698077052811e-05,8.040967476411054e-05,5.2658682585979516e-05,4.350310456598942e-05,0.00010636260363313012,7.5355682617861e-05,4.2312373004035656e-05,6.02341579898778e-05,5.433486499399106e-05,9.453113547629044e-05,7.984192737040059e-05,3.649604980239892e-05,5.8543189816698125e-05,4.687786798637913e-05,0.00011506701553762274,6.390009839330221e-05,9.847703429508842e-05,5.496138611194392e-05,7.177551262398435e-05,0.00032393613403794707,9.174095944905068e-05,9.184178029930479e-05,4.837105367256426e-05,9.243517775565368e-05,8.16144715734668e-05,6.941373873123353e-05,6.208434549807118e-05,4.817972096995361e-05,9.01355879912416e-05,5.247590161906741e-05,4.417720240897971e-05,0.00012474884466929964,0.00010481136117845072,5.936733811190888e-05,7.093431905627071e-05,7.40547575380536e-05,9.566942927277894e-05,7.915980591891654e-05
