Date,Bajaj Auto,Sun Pharmaceutical,Bharti Airtel,Mahindra & Mahindra,HCL Technologies,NTPC,Power Grid Corporation,Dr. Reddy's Laboratories,Coal India,Tata Motors
2023-01-03,0.0077644660263131,0.0121363626221535,0.0050398451484192,-0.0107296205446317,0.0018277548799221,-0.002380865400607,0.0025575368697385,0.0007791271555661,-0.0028919254064738,-0.0022796135600411
2023-01-04,-0.0135630640414919,-0.0049549100445877,-0.0070938893224601,-0.0104858710932635,-0.004561246065121,-0.0059666153804243,-0.0211038215441019,0.0035745980735031,-0.0310130200996501,-0.0210712504531863
2023-01-05,0.0192240414973243,0.0120507345990175,-0.0057896093223769,0.0133068768272943,0.0072352227120813,0.0198079182819606,-0.0106609078014491,0.0103442773425777,0.0046051031324931,0.0033712475865013
2023-01-06,0.0058268816845956,-0.0073804973187491,-0.0137529388736618,0.0097792047290703,-0.0108226745894615,-0.0052971615727752,-0.0033525791749742,-0.0059918220558169,-0.0178775235611053,-0.0126647219958598
2023-01-09,-0.0059029501468989,0.0080797316312775,0.0293969704415837,0.0359317523264608,0.0335495354248407,0.0082838668199163,0.0048052270883549,0.01457252132337,0.0032671362200347,0.0195026791283219
2023-01-10,-0.012856428444082,-0.0049171453044061,-0.0324017929462021,0.003472348674391,-0.0033724816046024,-0.0143779555231088,0.0129128114268215,-0.0104522100019439,0.0083742644946878,0.0602130676802659
2023-01-11,-0.010114144135104,0.0159607879231193,-0.03443276663163,-0.001749265249537,-0.0085069010334422,-0.0113127489035242,0.0007079871903663,-0.0062489850063707,-0.0154558249061629,0.012836048318034
2023-01-12,0.0091151988860549,0.0047178360770501,-0.0112989316907068,0.0055616742295003,0.0159745433819749,-0.0006022310943519,0.0073131014766469,0.0114268482060195,0.0023430996671416,-0.0142277076042603
2023-01-13,0.0098030659822421,-0.0012101522096472,0.0097766901554858,0.006250401521421,0.0057391599814098,0.0111478393840283,0.0023418448677468,0.002273446761541,0.0056101905478649,-0.001819204503904
2023-01-16,-0.0061437238216335,0.0037319553980648,-0.0067382054966393,-0.0094492503237013,0.0147520971852543,-0.0110249351774507,0.0077102567788012,0.0013077474034761,-0.0062762320138448,0.0036451906093291
2023-01-17,0.0066421818067265,-0.0026557105180252,0.0086280901038873,0.0039904944071671,0.015863489645326,0.0105453450735324,0.0127522119999172,0.0059406909694934,-0.0030409211815222,0.0055688872424255
2023-01-18,0.0008178991492782,0.007165518082383,0.0141700408145633,0.0009841995155148,0.0036902420637672,0.0104352025767511,0.0043499175817214,0.0028954247281147,0.0175973809544769,-0.0166143631843144
