Company,0
Adani Enterprises,-3.909393632792859e-05
Adani Green Energy,-0.0005079501551105952
Adani Ports,0.001240944199056318
Apollo Hospitals,0.0011122729118982076
Asian Paints,-0.000478393962698729
Axis Bank,0.00034949981417513917
Bajaj Auto,0.0020460564045003734
Bajaj Finance,0.00022416467122632526
Bajaj Finserv,0.00012074188469325171
Bharat Petroleum,0.0015065431271880654
Bharti Airtel,0.0014689838194220054
Britannia Industries,0.000346929166773313
Cipla,0.0008745020312091234
Coal India,0.0015567864426733647
Divi's Laboratories,0.0013748453657670351
Dr. Reddy's Laboratories,0.0011122141037116118
Eicher Motors,0.0009778324321814903
Grasim Industries,0.0008169479676587164
HCL Technologies,0.0015023648138631032
HDFC Bank,0.0003023695681593754
HDFC Life Insurance,0.0003023435522876167
Hero MotoCorp,0.0011111417009021611
Hindalco Industries,0.0006297791751095819
Hindustan Unilever,-5.962903186500433e-05
ICICI Bank,0.000817116343495847
ITC,0.0009569411806627627
IndusInd Bank,-0.00028581962608888764
Infosys,0.0006399534481508021
JSW Steel,0.0004458879084766725
Kotak Mahindra Bank,4.373214880804045e-05
Larsen & Toubro,0.0012668157377859117
Mahindra & Mahindra,0.001959425621504518
Maruti Suzuki,0.0006368794212943726
NTPC,0.001695343611994803
Nestle India,0.00033313315936818255
Oil & Natural Gas Corporation,0.0013430720598169002
Power Grid Corporation,0.0016747964609312202
Reliance Industries,0.00014123416862151092
SBI Life Insurance,0.00034639870878841044
Shree Cement,0.00030973293312918797
State Bank of India,0.0007376591710203612
Sun Pharmaceutical,0.0014023833272254799
Tata Consultancy Services,0.0006005894476908747
Tata Motors,0.0014391673881474793
Tata Steel,0.0005364019594816318
Tech Mahindra,0.0013268705750569122
Titan Company,0.0005829572499375383
UPL,-0.0005713277108725025
UltraTech Cement,0.0011042162326967656
Wipro,0.001000819966408943
