Company,Adani Enterprises,Adani Green Energy,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharat Petroleum,Bharti Airtel,Britannia Industries,Cipla,Coal India,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC Bank,HDFC Life Insurance,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,ITC,IndusInd Bank,Infosys,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,NTPC,Nestle India,Oil & Natural Gas Corporation,Power Grid Corporation,Reliance Industries,SBI Life Insurance,Shree Cement,State Bank of India,Sun Pharmaceutical,Tata Consultancy Services,Tata Motors,Tata Steel,Tech Mahindra,Titan Company,UPL,UltraTech Cement,Wipro
Coal India,0.0002182271532659691,0.0001668034711228948,0.00020346947388537578,4.725733478323752e-05,3.1250877300188835e-05,8.180871078707281e-05,6.47215712192293e-05,6.594884091908984e-05,6.877294552906368e-05,0.0001788880128530625,6.0930333804710043e-05,1.2230418431015532e-05,2.5072320987672003e-05,0.00033454757707676743,4.578560383793344e-05,3.5795427454713293e-05,7.390424722922916e-05,7.282912817120144e-05,5.3742763321479594e-05,5.853284980911084e-05,4.937691157447335e-05,7.013229480078648e-05,0.00012167456776014581,-2.143382217218801e-06,4.9494149737180416e-05,3.449231446829871e-05,0.0001029763682174838,2.8053578158387973e-05,0.0001117522115954647,5.194543939453456e-05,0.00011899973243566033,8.588738699604866e-05,5.7274785577502945e-05,0.0001784802229320768,2.396850688516039e-05,0.0002007480992326607,0.00013969827155742645,9.994810513271972e-05,6.323752329539099e-05,4.2337286545987104e-05,0.0001356015331558825,3.7529433285929074e-05,2.7526927836672124e-05,0.00010978931864971754,0.00014835547168787848,4.866923243961423e-05,5.519011839202532e-05,0.00010241436175241203,6.73259020520263e-05,6.983086612147326e-05
Divi's Laboratories,8.002110985408374e-05,6.699904565227263e-05,2.9452893626963953e-05,5.832853411496467e-05,4.355791943651111e-05,1.814520603723054e-05,4.137332752425891e-05,1.4146355544325838e-05,1.8176434057244368e-05,4.186323086496235e-05,2.231764872258484e-05,2.74278083672373e-05,6.876219450183145e-05,4.578560383793344e-05,0.0002735502247973161,5.792136305879076e-05,3.611523978228721e-05,3.172864727233147e-05,3.355053843268251e-05,7.233008534117763e-06,3.722791393429489e-05,4.220481653568811e-05,7.83119165251939e-05,2.6156278491940153e-05,4.606572765417081e-06,1.5022639591981868e-05,1.3986133406497713e-05,3.07172550415124e-05,4.38066005888928e-05,1.1641060781164421e-05,3.085872435912401e-05,3.536885444942369e-05,2.7172414871878446e-05,2.3985002296820847e-05,2.2966587262548872e-05,3.5991806168066624e-05,2.1575270877895763e-05,2.7700351372373328e-05,1.7844146160017043e-05,2.576949613463524e-05,5.669891985553782e-06,4.259285651520923e-05,2.7672429420270415e-05,2.7246776457798935e-05,5.875636534615918e-05,5.0214463702460534e-05,8.920321965096778e-06,5.954645911980912e-05,3.1992990344931416e-05,4.815592352580293e-05
Dr. Reddy's Laboratories,3.509455674022331e-05,1.0172123501094361e-05,2.949682152200187e-05,3.619223452848606e-05,8.791656925114344e-06,1.043995610745922e-05,2.750782430576664e-05,1.0696844474037372e-05,2.467730871876699e-05,3.211887711817878e-05,2.5806523383271527e-05,2.197215710241179e-05,6.666681327099553e-05,3.5795427454713293e-05,5.792136305879076e-05,0.00015014569090328683,2.3042773740208755e-05,3.457903613004053e-05,3.0113389719421137e-05,2.042826322767453e-05,1.0289896697753094e-05,2.3096260875064444e-05,5.073696777130775e-05,1.387036646652031e-05,2.111563410892545e-06,2.5045761363965304e-05,1.898072278516602e-05,3.344602881172712e-05,4.511274751549485e-05,-1.09957392053191e-06,2.991580123186097e-05,3.964792853281736e-05,1.5488893660044885e-05,3.5912092462838965e-05,2.3598924460504892e-05,3.3006293986563414e-05,2.8555855355497074e-05,2.614873261327346e-05,3.203334618122566e-05,9.732983955580406e-06,2.0221486671544507e-05,4.8215529572403126e-05,2.686529373035481e-05,3.504867208813807e-05,3.862928218418241e-05,3.173792312657804e-05,1.7749633755895743e-05,3.293146664792658e-05,3.348702705004747e-05,4.6991573869078164e-05
Eicher Motors,0.00013833130959746195,8.883780002125842e-05,8.688746802483026e-05,4.63585262123463e-05,3.7155832299786754e-05,5.5946234074091737e-05,6.810645535734661e-05,3.0294976307239993e-05,3.825451786315654e-05,6.003271919647205e-05,5.265599000454984e-05,2.0263119057369946e-05,1.403143020999193e-05,7.390424722922916e-05,3.611523978228721e-05,2.3042773740208755e-05,0.0002300791182165461,6.594704259824069e-05,3.5120319268115894e-05,4.8442858324135794e-05,3.757491841816381e-05,5.843304134632873e-05,6.400107503753901e-05,2.6587741293516386e-05,5.005772638751566e-05,3.5011062336734096e-05,6.59009788299964e-05,2.7287656919253832e-05,6.441113333946487e-05,4.349746798469033e-05,5.709744173145503e-05,9.350597685320219e-05,6.686905840424154e-05,6.382833904098084e-05,2.620714549852676e-05,6.677414896253292e-05,4.584674646943208e-05,6.111634959937757e-05,5.8934128488320923e-05,4.0262514895929585e-05,6.910495729686714e-05,2.4358936703424972e-05,2.6946750743718286e-05,7.310375093428017e-05,7.05571923090639e-05,3.933447248924508e-05,4.366660544937414e-05,6.468913144653445e-05,4.7141742998342635e-05,5.071718493015118e-05
Grasim Industries,0.00012113107574401732,9.100598483307189e-05,0.00011722431418679056,4.700444513004397e-05,4.566404987808813e-05,6.319486683473412e-05,4.2305383958070154e-05,6.844058179002284e-05,6.857840984851773e-05,8.205720876546876e-05,4.8752312307362246e-05,3.112916737097264e-05,2.4700929392282176e-05,7.282912817120144e-05,3.172864727233147e-05,3.457903613004053e-05,6.594704259824069e-05,0.00017463310636219818,3.270912980785644e-05,5.1046755964671144e-05,4.617404762994346e-05,5.16865081223446e-05,9.831387598291852e-05,2.7736143259824105e-05,5.734675035378295e-05,3.558103354249583e-05,7.137392318660462e-05,3.228548279471563e-05,9.486189005818105e-05,4.6626806192278006e-05,6.234641078913572e-05,7.19647477474796e-05,4.6832753399200504e-05,8.222378104227521e-05,3.921231618039597e-05,8.025250003225995e-05,7.020309100944704e-05,6.905888884146774e-05,4.793780791144459e-05,7.066243954894605e-05,8.701468404279221e-05,3.2278159082823396e-05,3.187009067657772e-05,6.769197167373736e-05,9.269167793263966e-05,3.504524893859668e-05,5.988057015421864e-05,7.678288800589374e-05,0.0001000106824683256,5.102866821843968e-05
HCL Technologies,6.805357725058606e-05,1.659888877027998e-05,5.812756378124771e-05,3.807137400203183e-05,1.8586856056469182e-05,2.4613299284863984e-05,2.6371997207089892e-05,3.661643688659103e-05,4.1409649137345814e-05,2.5286871408581335e-05,4.118906407916149e-05,2.1838529366477025e-05,1.1859278318033013e-05,5.3742763321479594e-05,3.355053843268251e-05,3.0113389719421137e-05,3.5120319268115894e-05,3.270912980785644e-05,0.00018117387060167893,1.896785601666506e-05,2.822350661033286e-05,2.78765576617987e-05,6.282764183331325e-05,2.9206344703589655e-05,1.9953757289248844e-05,2.5019567351011348e-05,3.7405959200376345e-05,0.00012977527299436867,4.8386486985422535e-05,2.4714364029986362e-05,3.9342787698467126e-05,4.797550188677306e-05,3.33924778698845e-05,3.915185763543672e-05,2.1622120560006843e-05,4.662858815859494e-05,1.8331588517180306e-05,4.5238038801066665e-05,4.1677821099310195e-05,2.6406791449568888e-05,4.235967014840738e-05,2.0661199784646936e-05,0.00010552463241636502,5.41762211781771e-05,5.8777232892283315e-05,0.00011284044243537058,2.981719371319708e-05,5.4320730189314e-05,3.868086422700958e-05,0.00012073682014904882
HDFC Bank,0.00010753172907252015,7.558123751427376e-05,0.00010365872627713365,1.5852247010722325e-05,3.0696099131334874e-05,6.802752051272335e-05,2.9658216067252445e-05,6.0485241897326965e-05,5.4518409420497276e-05,4.6850332355191566e-05,3.644705945712983e-05,8.088121421143637e-06,1.2639631082720554e-06,5.853284980911084e-05,7.233008534117763e-06,2.042826322767453e-05,4.8442858324135794e-05,5.1046755964671144e-05,1.896785601666506e-05,0.00015554121198017016,3.7300155759142406e-05,2.0224601026897147e-05,5.9853708651482504e-05,1.3351571042806372e-05,6.073676137087183e-05,1.511315597982699e-05,7.858141009135562e-05,3.088489061834578e-05,6.660939896462537e-05,6.091872578124887e-05,6.296781182837623e-05,6.549165281351856e-05,2.6701351941686617e-05,6.498112717510715e-05,1.1042606220012022e-05,5.873588843507934e-05,5.093777792835237e-05,5.394037405404996e-05,3.828068638538442e-05,2.543158626281252e-05,7.12508627579968e-05,1.2723248735328905e-05,2.0629374518611858e-05,4.005134705265706e-05,7.106931724839127e-05,3.731100706700604e-05,3.200972155072217e-05,6.488594002386701e-05,5.2170807348957284e-05,4.569780274493955e-05
HDFC Life Insurance,0.00018203372330278823,5.0735614807203806e-05,0.00012749831464453501,2.55788068334832e-05,3.3213399394829657e-05,4.7129114396748756e-05,4.360186209045462e-05,6.216300196441532e-05,7.40677324855882e-05,4.768313665228073e-05,3.282846501006902e-05,1.3780813142701954e-06,1.1745524809558895e-05,4.937691157447335e-05,3.722791393429489e-05,1.0289896697753094e-05,3.757491841816381e-05,4.617404762994346e-05,2.822350661033286e-05,3.7300155759142406e-05,0.00025571372141866875,4.955878793669548e-05,5.472927990637004e-05,2.4567252503658872e-05,2.9181835567654208e-05,1.4880467147688911e-05,6.039185162344688e-05,1.7621182588329157e-05,4.7669399350014206e-05,3.672213158209933e-05,4.1601918504139985e-05,5.215680177054237e-05,4.328076475074296e-05,4.5045862222370094e-05,2.4469364670719104e-05,4.506165952922553e-05,2.2708692160392858e-05,4.515478013597987e-05,0.00013697304237098438,3.075535161240283e-05,6.145265181905028e-05,2.5799816160763567e-05,2.2203190681520995e-05,5.2093125331664396e-05,5.263571869375607e-05,2.9244051534345394e-05,4.6046069213685685e-05,6.637029902950154e-05,4.0418827595178184e-05,4.066685341094571e-05
Hero MotoCorp,9.763188815429084e-05,8.47524472501228e-05,9.042892757660191e-05,4.2441981540534576e-05,2.748918474585226e-05,3.4582228633333486e-05,9.898450784540722e-05,3.907165338768391e-05,5.0953010286049185e-05,6.841341728937892e-05,3.490484554482234e-05,3.0502753213933404e-05,3.305537812901326e-05,7.013229480078648e-05,4.220481653568811e-05,2.3096260875064444e-05,5.843304134632873e-05,5.16865081223446e-05,2.78765576617987e-05,2.0224601026897147e-05,4.955878793669548e-05,0.0002349482411093446,6.566459889623072e-05,3.6010631457429384e-05,2.780705708143991e-05,2.0865162908912757e-05,5.0650475348833806e-05,2.100473245993956e-05,4.5000625108049744e-05,2.769340048889316e-05,4.740326241799412e-05,8.762932679317802e-05,5.556045043589771e-05,4.76372369002168e-05,3.911848072450569e-05,6.169165829815017e-05,4.705367010940964e-05,4.255307573574548e-05,4.5909270424670616e-05,3.690746865875242e-05,4.913870694972043e-05,3.2937178787276074e-05,2.6036426944842604e-05,7.507579676041648e-05,6.855902823839515e-05,2.823387124257862e-05,5.388250645948245e-05,6.0110565860109914e-05,5.210763934616473e-05,4.6787005875465355e-05
Hindalco Industries,0.0001280106888097936,0.00013320917603223303,0.00012703547992271155,2.6204041966219303e-05,2.0232587901746198e-05,5.726959684712783e-05,5.2429551137518614e-05,5.815413113887694e-05,6.497830982986207e-05,9.862650775156782e-05,6.109381021475463e-05,1.6150953263110585e-05,2.7017002828173916e-05,0.00012167456776014581,7.83119165251939e-05,5.073696777130775e-05,6.400107503753901e-05,9.831387598291852e-05,6.282764183331325e-05,5.9853708651482504e-05,5.472927990637004e-05,6.566459889623072e-05,0.00033869268617377034,1.946200213962411e-05,4.347249548950602e-05,2.943067435917691e-05,8.178163170179382e-05,6.006470909307395e-05,0.0001719986131013732,4.4483786021716784e-05,8.28882236996994e-05,9.00211253181446e-05,5.566994759109359e-05,0.00010215620345212204,2.824874612092077e-05,0.0001363867290063043,9.009970022699491e-05,8.018964141592657e-05,5.4911029402557046e-05,2.974978926979882e-05,9.26537048279625e-05,4.500802513921192e-05,4.8376276970184125e-05,0.00010400572360687045,0.00020047990741318102,6.861882506842297e-05,4.7822402740514234e-05,0.00010848824744992586,6.634245445786049e-05,8.262694194799198e-05
