Date,Adani Enterprises,Adani Green Energy,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharat Petroleum,Bharti Airtel,Britannia Industries,Cipla,Coal India,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC Bank,HDFC Life Insurance,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,ITC,IndusInd Bank,Infosys,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,NTPC,Nestle India,Oil & Natural Gas Corporation,Power Grid Corporation,Reliance Industries,SBI Life Insurance,Shree Cement,State Bank of India,Sun Pharmaceutical,Tata Consultancy Services,Tata Motors,Tata Steel,Tech Mahindra,Titan Company,UPL,UltraTech Cement,Wipro
2023-01-03,-0.0026683936587142965,0.0022502250806768487,-0.0022497708678426154,0.008205449039810908,-0.006235084609816144,0.02198394271516957,0.007764466026313199,0.008010700452957709,0.006763233508288113,0.008986066896517153,0.005039845148419264,-0.011718966633736061,0.0046222458071631944,-0.002891925406473872,0.006033826275160248,0.0007791271555661616,-0.004769562491666379,-0.00823086788796945,0.00182775487992215,0.0065390588522289406,0.04436265191462474,0.001656942867866551,-0.014680180124345132,-0.0063906619416552735,-0.0012189048278389292,-0.005257566622123844,0.011905211294963136,-0.0009513571914752106,-0.009544618206084432,0.004273809340106016,-0.00023928173739407033,-0.01072962054463178,-0.002445489089439201,-0.002380865400607002,0.008473164750712359,-0.005982038488821173,0.002557536869738586,-0.007317846942682227,0.02286195093124399,0.011863274323014261,0.0003265752220906748,0.012136362622153563,0.015299947056273355,-0.0022796135600411382,-0.006708557592183251,0.014165438720987744,0.01864959237278363,-0.003670355800735936,-0.003469644361806634,0.010176916424255111
2023-01-04,-0.0010180350863443488,-0.017142529918335203,-0.012736836440766064,-0.012826125305046565,-0.0037644730932661075,-0.005039979863483035,-0.01356306404149199,-0.00533591060623384,-0.009692909871701239,-0.0016327887595427582,-0.007093889322460134,-0.0016148028582076979,-0.008365299927515224,-0.031013020099650124,0.012540574906357627,0.0035745980735031324,0.0005601397328354185,-0.015579061017778062,-0.004561246065121094,-0.017872862392644517,0.005036953695095381,-0.004080344967675398,-0.03834129196242542,-0.0023404645972641136,-0.0024962981246399174,-0.012382996448538908,-0.014384112680576933,-0.018226126323188208,-0.04115121313652437,-0.006601721689253548,-0.008808215314409229,-0.010485871093263599,0.0047777003852229605,-0.005966615380424312,-0.010513269704000128,-0.022066295747311226,-0.021103821544101953,-0.015056372900683068,-0.007371604484638805,0.011570596195674687,-0.011757085016829816,-0.0049549100445877015,0.0009964650335527736,-0.021071250453186363,-0.022794376853782494,-0.003418610392371013,-0.006140879227017559,-0.00514343588347399,0.001680085887938887,-0.018511430016098895
2023-01-05,0.0007185636852300448,-0.00026874496103201917,0.011851744108156481,-0.0009586679934607822,-0.004143464738525338,-0.008251171876947572,0.019224041497324373,-0.07167088473808603,-0.051038576839677274,0.017989845001959104,-0.005789609322376932,0.018465138055250963,0.02010498402501182,0.004605103132493182,0.007655275478124279,0.010344277342577701,0.013202619168667606,0.0047329707107131025,0.007235222712081324,-0.006428388427219045,0.01812563283259805,0.021352459930891188,0.00910077978748114,0.018768847925915155,-0.022188784459649114,0.01972478861193694,-0.005927513191833489,-0.013112128906721754,0.01955734050318325,-0.0002471443562450659,0.008113859095151499,0.013306876827294367,0.004547075915042775,0.0198079182819606,0.013119817285402569,0.0017094237316661598,-0.010660907801449127,-0.0017868175567857802,0.006830562982283572,0.00959887578598817,-0.00016506966035634285,0.01205073459901751,-0.0010708935369438954,0.0033712475865013136,0.006911407520799884,-0.008477892248615615,-0.013647533077689955,0.006497541660069439,0.00023553908396500844,-0.0071850710481334845
2023-01-06,-0.0014491183583059675,-0.011693548387096797,-0.016471438631787683,-0.009392222446531262,-0.008637589692239822,-0.010162589443721837,0.005826881684595664,-0.019614641727004112,-0.026210923208894954,0.006864473290277395,-0.013752938873661802,0.010630048274354431,-0.011025875837295085,-0.01787752356110539,-0.007784945436114077,-0.005991822055816942,-0.0021793168912851435,-0.010422217239778875,-0.010822674589461512,-0.0033131783692569305,0.0036099247200227502,-0.008889978217119898,-0.006549324546194946,-0.002806199942757215,-0.010294036668463735,0.004798302989017733,-0.027922867286844122,-0.018099134098419123,-0.02977232924693518,-0.018403588225809453,-0.0003832959332150665,0.009779204729070345,-0.009224467815735271,-0.005297161572775266,0.00552442153204824,0.0058023347860802765,-0.003352579174974224,0.00908899258763829,0.001104433165662888,-0.015881969305178822,-0.007354064940891969,-0.007380497318749124,-0.030065469652440502,-0.012664721995859884,-0.007721990284637159,-0.025206284075886876,-0.009367324186626558,-0.002984873600965554,-0.003539340752165665,-0.01266487234182423
2023-01-09,0.008119231834656349,0.028940541913164752,0.01308780886877381,0.004615398427119555,0.0019305727855303267,0.020055297882917378,-0.0059029501468989,0.002165564736495762,-0.011430760293146602,0.0059470616271659615,0.029396970441583736,0.0012042794190179062,0.01031249276763635,0.0032671362200347165,0.007161744895191058,0.014572521323370058,0.0036762141115322944,-0.0041651596385969825,0.03354953542484074,0.0019443432151469153,-0.005231866992899903,0.0035732642173571527,0.01750782880510604,0.018475308212021924,0.0037351625213701833,0.008953904970476989,0.03109406185978436,0.024818620971351013,0.01922145410522691,0.014047475889468863,0.016845904955884006,0.03593175232646084,-0.0007216447284629224,0.00828386681991633,0.010080215087649114,0.0054291306645581905,0.0048052270883549575,0.023611361306151935,0.029392059969979067,-0.004223727518635867,0.011737166630655826,0.00807973163127751,0.03375309579448538,0.01950267912832193,0.016428937676056687,0.029508507958615926,-0.02105917468731111,0.022349113507330154,0.007540621728642227,0.025654407263934198
2023-01-10,-0.05405549547282584,0.0019826059884251457,-0.024796443254380907,0.013374078770639786,-0.007975373740905511,-0.006883982970968261,-0.01285642844408208,-0.014883389864257635,-0.0004949650450393195,0.001730432109237512,-0.03240179294620216,-0.008580870959803866,-0.00804622906756225,0.00837426449468781,0.012241704859378366,-0.010452210001943962,-0.029118270011454173,-0.013503811592029069,-0.003372481604602462,-0.01827858602301624,-0.013559036089919818,-0.014642041590214983,0.014445059452261377,0.007545513608619547,-0.013740262846740015,-0.013755447939721277,0.007303081731544481,-0.009902531545533555,0.0038393079216731962,-0.009023640697884638,-0.007093316929159488,0.003472348674391057,-0.010009582851199017,-0.014377955523108832,-0.0030741799839474337,0.008099838227255463,0.012912811426821547,-0.014787286023285828,-0.00287059757878938,-0.008117047855023207,-0.02065161742578181,-0.004917145304406123,-0.010105650577044267,0.06021306768026591,0.011059051340468029,-0.012410551373345013,-0.006620581864440589,-0.013007341992488985,-0.016283286107782624,0.0031904175665573575
2023-01-11,-0.0030436566731675274,-0.009524022384367115,6.275680849077148e-05,-0.02374244851819829,-0.0067390780619991375,-0.002520630115108946,-0.01011414413510403,-0.0014225513120726951,-0.00962303035221257,0.014826530684249661,-0.034432766631630085,-0.0029005178452764513,-0.028830920583256203,-0.01545582490616293,-0.025814985759130438,-0.006248985006370722,-0.009565784190385673,-0.009660810217353433,-0.008506901033442205,0.01441047583962618,-0.000583192137736388,-0.006747739989248491,0.028059927176956156,-0.019138836711841356,0.005746833058718481,-0.004799023011369807,-0.01164931005565295,0.0010205287965696641,0.012077300708953853,0.003508649419904364,0.00887666493974315,-0.001749265249537002,-0.0010491136808669088,-0.011312748903524295,-0.013266564720105012,-0.017073904125491368,0.0007079871903663548,-0.012605455270450983,-0.008674862866343003,-0.0018168258789802438,0.002604387207251868,0.01596078792311939,0.012871379582473974,0.012836048318034088,0.0,0.0036902056254888294,-0.012478711256484032,-0.00945290085511219,0.014688759863380252,0.0020354968456859357
2023-01-12,0.003135457296104427,0.006765549373624946,-0.0043944916371289056,-0.00019488498060071802,-0.008315135721239542,-0.014951297038130584,0.009115198886054943,0.00044945226351855716,-0.008501769687859317,-0.021134823633591315,-0.011298931690706837,-0.0034882180929648454,0.012934301943210214,0.002343099667141635,-0.031115747609041455,0.01142684820601958,-0.010837572356716452,0.0044953984866309415,0.015974543381974904,0.005342879719589577,-0.002417124730908493,0.00018575220475547383,-0.010795439815353358,-0.0012339241155836511,-0.006521977858934602,-0.0058770258832131494,-0.0033792557080541963,0.0063550796427120915,0.012264554673231398,-0.012403929517030288,0.016185450663700918,0.00556167422950038,0.010230130742720833,-0.0006022310943519793,0.005817704404819546,-0.0044279903152946165,0.007313101476646988,-0.021594304044218804,0.018895514166381133,0.014379090677979933,-0.0030166072383216447,0.004717836077050119,0.001697307558904182,-0.014227707604260398,-0.0063105303250907685,-0.004769794056128096,0.0037745476549408963,0.0,0.018712734221202787,0.0016503298555008428
2023-01-13,0.02027587937758213,0.013651903146505662,0.0021439534623839407,-0.005550900191760855,-0.0023320714637704576,-0.0014964462590216776,0.00980306598224212,0.013461139687579449,0.0024139715907463,0.01463571833628352,0.009776690155485879,0.008571158936400813,0.006219596684092776,0.005610190547864935,0.01403808245571958,0.0022734467615410647,0.01894794930953103,0.007732469204525971,0.005739159981409836,0.0007816349952860513,0.010193778790408059,0.012693715138487383,0.005868391851610255,0.01310787996317564,0.01487250930581041,-0.0033346587705807007,0.020882450370422356,0.015568155126737482,0.006614693150427398,0.00044959845779612984,-0.002940136577454955,0.0062504015214210895,0.010060795024243507,0.011147839384028302,-0.004473311606662533,0.005473946006374186,0.0023418448677468007,-0.001618224691639858,-0.002090114046188085,0.011943135953789374,0.008740806423600533,-0.0012101522096472639,0.012056338243675802,-0.0018192045039040483,0.01989837052576693,0.0015975513429427046,-0.01201667180612942,0.0013931242907669894,0.013357310181874693,-0.001520970932241239
2023-01-16,-0.027236198297326153,0.09090910249502882,-0.00956402130720646,-0.009433739422105902,0.0023718167665511825,-0.022480334497786525,-0.006143723821633529,0.005537261161864038,-0.005211567949371276,-0.003284867413647863,-0.006738205496639393,-0.00611157171343002,-0.007632886159946728,-0.006276232013844862,-0.005519670445104818,0.0013077474034761671,-0.007273782905175108,-0.003987642808020664,0.014752097185254387,-0.009589842760317713,-0.000496279483730766,0.011050274624755607,-0.011156573941646042,-0.010251541038950651,-0.009388057990375676,0.004410565721581383,0.00392897876574394,0.01453127834974155,-0.012101463438223492,0.0025276656655777163,-0.00752295950401205,-0.009449250323701364,-0.008671314958860088,-0.011024935177450734,-0.00246407308788954,0.004423353149651144,0.007710256778801217,-0.009523522608857027,-0.009177712744269706,-0.0032870272422551583,0.004832649950015311,0.0037319553980648124,-0.009653676391048194,0.0036451906093291075,-0.004151068210586639,0.03120166068955954,-0.004695439339520324,-0.006608221617460552,0.004959398011281424,0.011931989489152084
