Company,0
Advanced Micro Devices,0.0011788453914680387
Alphabet Inc,0.0011568909973911036
Amazon.com Inc,0.001418023067379336
Apple Inc,0.0010306448602008978
Asian Paints,-0.0003134310383385832
BSE Ltd,0.0034603325285700484
Bajaj Finance,0.00013987642240671522
Bharti Airtel,0.0009818162450114883
Bitcoin,0.0026939000608576374
Cardano,0.002422874822956269
Dixon Technologies,0.002285962693076669
Dogecoin,0.003030435689498086
Ethereum,0.0018218106720452112
HDFC Bank,0.0001945358425642613
Hindustan Unilever,-3.135661781255563e-05
ICICI Bank,0.0005516564740945109
Indian Energy Exchange,0.0005378924342698244
Infosys,0.00043204475253425743
Intel Corporation,-5.177756910388851e-05
Meta Platforms Inc,0.002322488327194985
Microsoft Corporation,0.0008688652840740019
NVIDIA Corporation,0.0034213149220541157
Netflix Inc,0.001673776213671267
Reliance Industries,0.00010511344990783147
Solana,0.004722818516506315
Tanla Platforms,0.00016041670590465852
Tata Consultancy Services,0.00038322619555088177
Tesla Inc,0.002269148124497494
Wipro,0.0006596496089346685
