Date,Solana,Wrapped Bitcoin,Bitcoin
2023-10-01,0.1141071597157905,0.0354011060407906,0.0376682419133327
2023-10-02,-0.0194989527240696,-0.0140422252190598,-0.0161867099209362
2023-10-03,0.0077441534673108,-0.0047907870809655,-0.0036615970105057
2023-10-04,-0.0173189309217917,0.0122797100949665,0.0134676013477212
2023-10-05,-0.0194707106181417,-0.012494094909527,-0.0137946321616435
2023-10-06,0.0321806555677943,0.0198057762934613,0.0193568444762239
2023-10-07,-0.0058550658081155,-0.0002794019554503,0.0007958817661306
2023-10-08,-0.0017553080438256,-0.0006394704653401,-0.0012067000343434
2023-10-09,-0.0485248307695993,-0.0123650623193826,-0.0125795947441215
2023-10-10,-0.0006004444478937,-0.0064599321279448,-0.0069845002171304
2023-10-11,-0.0044196241632581,-0.0210628686834074,-0.0189003267351682
2023-10-12,-0.0321324092629143,-0.0038417373126752,-0.0043359541366684
2023-10-13,0.0251005710780638,0.0048344674854272,0.0039457699163931
2023-10-14,0.0080971995892655,0.0004494029319486,-2.486633255627257e-05
2023-10-15,-0.0040747005323868,0.0090494494106481,0.0110918234702426
2023-10-16,0.0940118446531661,0.0515281217676093,0.050067446958242
2023-10-17,-0.0009856865492913,-0.0025688540306061,-0.0036367703063566
2023-10-18,-0.0220031185559974,-0.0043782235020004,-0.0030759792019486
2023-10-19,0.0642613638259859,0.0140752093591318,0.0138188407410837
2023-10-20,0.0840388715508451,0.0338177983399101,0.0335358308702053
2023-10-21,0.0870231068257221,0.0098741998547684,0.0079325975626527
2023-10-22,-0.011894906206312,0.0016306841542113,0.0025230073950464
2023-10-23,0.0969223147453317,0.0980830593601245,0.1030989052134629
2023-10-24,-0.0533562040420287,0.0278363166845838,0.0246414554013447
2023-10-25,0.0766637257672322,0.018145579218556,0.017736456610143
2023-10-26,0.009624091568529,-0.0089675973443029,-0.0100331471996967
2023-10-27,-0.0316027341569076,-0.0094010078229566,-0.0072269285056373
2023-10-28,-0.0027215130958996,0.0063489247613832,0.0053015185391298
2023-10-29,0.0369405358274299,0.014425481678453,0.0131684322930936
2023-10-30,0.0651906906470638,-0.0026354270544297,-0.0010457086417764
2023-10-31,0.1017431542709477,0.0033215391504903,0.0047943953114624
2023-11-01,0.0763775963936199,0.0218955388174157,0.0221956130016252
2023-11-02,-0.0302442888628512,-0.0144358216897416,-0.0140815572242178
2023-11-03,-0.0171064554633021,-0.0039148767671458,-0.0058937701457594
2023-11-04,0.0715296758607351,0.011346327888178,0.0100733567827611
2023-11-05,-0.026164891406161,0.0004828777062964,-0.0009360829177728
2023-11-06,0.0215814287876214,-0.0026285724074313,-0.0003419285416157
2023-11-07,0.0228812531822277,0.0097326469203986,0.0115930902796088
2023-11-08,0.0022589393554719,0.0103909048324732,0.0059732946920896
2023-11-09,0.0522099069331576,0.02761210582303,0.0291078273278926
2023-11-10,0.2464312152792611,0.0160810999417895,0.0169198930317326
2023-11-11,-0.0095542778206467,-0.0096426537346935,-0.0047145338500075
2023-11-12,0.000916843816159,0.001435077718312,-0.0022492093215127
2023-11-13,-0.0756320114996406,-0.0142872479690421,-0.0149013958212123
2023-11-14,0.0950029697683316,-0.0264532296669932,-0.0264288381218549
2023-11-15,0.152995680020435,0.0625028669601774,0.0659284455874031
2023-11-16,-0.1169309261937954,-0.0437643068570416,-0.0455592920556572
2023-11-17,0.0094093585102961,0.0120731458822851,0.0122228427460457
2023-11-18,0.0016569162654871,0.000865888208847,-0.0003000399946588
2023-11-19,0.0492342927329199,0.0226721168790733,0.021889527372586
2023-11-20,-0.0791569355272754,0.0007640181922032,0.0024182537251242
2023-11-21,-0.0801884344843338,-0.0388682364601267,-0.0443777900607883
2023-11-22,0.1074621988947457,0.0406363115583481,0.0451928245212653
2023-11-23,-0.0171768347553522,-0.0040410564907349,-0.0038127124992917
2023-11-24,0.0047186174466382,0.0116980578198306,0.0115490622757274
2023-11-25,0.0348192913006577,0.0016015827845239,0.0020283973558654
2023-11-26,-0.0204564244825736,-0.0076480939411609,-0.0084047309321361
2023-11-27,-0.0447251640692998,-0.0097958965790367,-0.0060020917896475
2023-11-28,0.0568377524963872,0.0177432640298558,0.0154859979488453
2023-11-29,0.0181419512753104,-2.462258644342352e-05,0.0007244373065387
2023-11-30,-0.0001435739456682,-0.0010214486631261,-0.0038497596002547
2023-12-01,0.0094928883988214,0.0248626448881403,0.0258799479577476
2023-12-02,0.0673677713687066,0.0198403780159015,0.0203568745759425
2023-12-03,-0.0124213840330486,0.0125489758544652,0.0127179646111132
2023-12-04,-0.0240062221230895,0.0490628851638612,0.0500697251679325
2023-12-05,-0.008643154777534,0.0513770597501994,0.0500368245555349
2023-12-06,0.0148885867031274,-0.0087001994320649,-0.0075816290559757
2023-12-07,0.0958737978500554,-0.0083516021647289,-0.0103729856622278
2023-12-08,0.1056137000598314,0.0207107021766241,0.0201867341482688
2023-12-09,-0.0365965093702709,-0.0117594669991893,-0.0099762529131086
2023-12-10,0.0338826658236677,0.0011393944513082,0.0012284421841561
2023-12-11,-0.0580772785530824,-0.0567100485608613,-0.0579233579205116
2023-12-12,-0.0259565966827443,0.0037855567470628,0.0050041573451182
2023-12-13,0.0324931732400806,0.0364874252898734,0.0347529986315475
2023-12-14,0.0685699962536419,0.0027482419829889,0.0031062756659134
2023-12-15,-0.04299561690074,-0.0256148024850749,-0.0254326780209833
2023-12-16,0.0152622705614899,0.0054467478754487,0.0074018880907409
2023-12-17,-0.0336581789242911,-0.0177112038673976,-0.0207256320126656
